event_id	listing_date	event_listing_date_id	taxonomy	event_title	event_datetime	tickets_listed	mean_listing_price	performer_1	performer_2	performer_3	performer_4	venue_name	event_date	listing_month	listing_day	listing_dayDate	listing_year	event_month	event_day	event_dayDate	event_year	daysSinceListing
3594116	2017-06-01	3594116_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-06 19:10:00	13102	48	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-07-06	6	5	1	2017	7	5	6	2017	0
3594065	2017-06-01	3594065_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-06 19:10:00	8942	56	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-09-06	6	5	1	2017	9	7	6	2017	0
3594070	2017-06-01	3594070_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-04 17:10:00	10344	49	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-09-04	6	5	1	2017	9	2	4	2017	0
3594118	2017-06-01	3594118_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-05 19:10:00	13130	32	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-07-05	6	5	1	2017	7	7	5	2017	0
3594068	2017-06-01	3594068_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-09-05 19:10:00	11642	32	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-09-05	6	5	1	2017	9	6	5	2017	0
3594121	2017-06-01	3594121_17318	MLB Baseball	Arizona Diamondbacks at Los Angeles Dodgers	2017-07-04 18:10:00	11572	74	Los Angeles Dodgers	Arizona Diamondbacks	NA	NA	Dodger Stadium	2017-07-04	6	5	1	2017	7	6	4	2017	0
3594103	2017-06-01	3594103_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-22 18:10:00	11085	52	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium	2017-07-22	6	5	1	2017	7	3	22	2017	0
3594105	2017-06-01	3594105_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-21 19:10:00	11575	49	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium	2017-07-21	6	5	1	2017	7	1	21	2017	0
3594108	2017-06-01	3594108_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-20 19:10:00	12300	37	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium	2017-07-20	6	5	1	2017	7	5	20	2017	0
3594101	2017-06-01	3594101_17318	MLB Baseball	Atlanta Braves at Los Angeles Dodgers	2017-07-23 13:10:00	10336	45	Los Angeles Dodgers	Atlanta Braves	NA	NA	Dodger Stadium	2017-07-23	6	5	1	2017	7	4	23	2017	0
3594080	2017-06-01	3594080_17318	MLB Baseball	Chicago White Sox at Los Angeles Dodgers	2017-08-15 19:10:00	11040	51	Los Angeles Dodgers	Chicago White Sox	NA	NA	Dodger Stadium	2017-08-15	6	5	1	2017	8	6	15	2017	0
3594078	2017-06-01	3594078_17318	MLB Baseball	Chicago White Sox at Los Angeles Dodgers	2017-08-16 19:10:00	11131	42	Los Angeles Dodgers	Chicago White Sox	NA	NA	Dodger Stadium	2017-08-16	6	5	1	2017	8	7	16	2017	0
3594150	2017-06-01	3594150_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-09 19:10:00	9766	40	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium	2017-06-09	6	5	1	2017	6	1	9	2017	0
3594145	2017-06-01	3594145_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-11 13:10:00	10233	31	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium	2017-06-11	6	5	1	2017	6	4	11	2017	0
3594147	2017-06-01	3594147_17318	MLB Baseball	Cincinnati Reds at Los Angeles Dodgers	2017-06-10 19:10:00	10439	43	Los Angeles Dodgers	Cincinnati Reds	NA	NA	Dodger Stadium	2017-06-10	6	5	1	2017	6	3	10	2017	0
3594127	2017-06-01	3594127_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-06-25 13:10:00	12132	42	Los Angeles Dodgers	Colorado Rockies	Los Angeles Angels	NA	Dodger Stadium	2017-06-25	6	5	1	2017	6	4	25	2017	0
3594057	2017-06-01	3594057_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-10 13:10:00	11539	42	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-09-10	6	5	1	2017	9	4	10	2017	0
3594132	2017-06-01	3594132_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-06-23 19:10:00	11592	50	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-06-23	6	5	1	2017	6	1	23	2017	0
3594061	2017-06-01	3594061_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-08 19:10:00	11485	46	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-09-08	6	5	1	2017	9	1	8	2017	0
3594129	2017-06-01	3594129_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-06-24 19:10:00	9821	67	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-06-24	6	5	1	2017	6	3	24	2017	0
3594063	2017-06-01	3594063_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-07 19:10:00	11673	33	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-09-07	6	5	1	2017	9	5	7	2017	0
3594059	2017-06-01	3594059_17318	MLB Baseball	Colorado Rockies at Los Angeles Dodgers	2017-09-09 18:10:00	11662	52	Los Angeles Dodgers	Colorado Rockies	NA	NA	Dodger Stadium	2017-09-09	6	5	1	2017	9	3	9	2017	0
3601623	2017-06-01	3601623_17318	Minor League Baseball	Colorado Springs Sky Sox at Oklahoma City Dodgers	2017-06-01 19:05:00	36	36	Oklahoma City Dodgers	Colorado Springs Sky Sox	NA	NA	Chickasaw Bricktown Ballpark	2017-06-01	6	5	1	2017	6	5	1	2017	0
3580720	2017-06-01	3580720_17318	Minor League Baseball	Colorado Springs Sky Sox at Oklahoma City Dodgers	2017-06-02 19:05:00	49	29	Oklahoma City Dodgers	Colorado Springs Sky Sox	NA	NA	Chickasaw Bricktown Ballpark	2017-06-02	6	5	1	2017	6	1	2	2017	0
3580719	2017-06-01	3580719_17318	Minor League Baseball	Colorado Springs Sky Sox at Oklahoma City Dodgers	2017-06-03 19:05:00	12	29	Oklahoma City Dodgers	Colorado Springs Sky Sox	NA	NA	Chickasaw Bricktown Ballpark	2017-06-03	6	5	1	2017	6	3	3	2017	0
3750586	2017-06-01	3750586_17318	Minor League Baseball	Colorado Springs Sky Sox at Oklahoma City Dodgers	2017-06-04 14:05:00	25	36	Oklahoma City Dodgers	Colorado Springs Sky Sox	NA	NA	Chickasaw Bricktown Ballpark	2017-06-04	6	5	1	2017	6	4	4	2017	0
3580706	2017-06-01	3580706_17318	Minor League Baseball	Iowa Cubs at Oklahoma City Dodgers	2017-07-04 19:05:00	96	44	Iowa Cubs	Oklahoma City Dodgers	NA	NA	Chickasaw Bricktown Ballpark	2017-07-04	6	5	1	2017	7	6	4	2017	0
3580705	2017-06-01	3580705_17318	Minor League Baseball	Iowa Cubs at Oklahoma City Dodgers	2017-07-05 19:05:00	24	36	Iowa Cubs	Oklahoma City Dodgers	NA	NA	Chickasaw Bricktown Ballpark	2017-07-05	6	5	1	2017	7	7	5	2017	0
3580704	2017-06-01	3580704_17318	Minor League Baseball	Iowa Cubs at Oklahoma City Dodgers	2017-07-06 19:05:00	8	34	Iowa Cubs	Oklahoma City Dodgers	NA	NA	Chickasaw Bricktown Ballpark	2017-07-06	6	5	1	2017	7	5	6	2017	0
3594112	2017-06-01	3594112_17318	MLB Baseball	Kansas City Royals at Los Angeles Dodgers	2017-07-08 16:15:00	11731	61	Los Angeles Dodgers	Kansas City Royals	NA	NA	Dodger Stadium	2017-07-08	6	5	1	2017	7	3	8	2017	0
3594114	2017-06-01	3594114_17318	MLB Baseball	Kansas City Royals at Los Angeles Dodgers	2017-07-07 19:10:00	12380	54	Los Angeles Dodgers	Kansas City Royals	NA	NA	Dodger Stadium	2017-07-07	6	5	1	2017	7	1	7	2017	0
3594110	2017-06-01	3594110_17318	MLB Baseball	Kansas City Royals at Los Angeles Dodgers	2017-07-09 13:10:00	12578	51	Los Angeles Dodgers	Kansas City Royals	NA	NA	Dodger Stadium	2017-07-09	6	5	1	2017	7	4	9	2017	0
3594124	2017-06-01	3594124_17318	MLB Baseball	Los Angeles Angels at Los Angeles Dodgers	2017-06-26 19:10:00	12229	56	Los Angeles Dodgers	Los Angeles Angels	NA	NA	Dodger Stadium	2017-06-26	6	5	1	2017	6	2	26	2017	0
3594122	2017-06-01	3594122_17318	MLB Baseball	Los Angeles Angels at Los Angeles Dodgers	2017-06-27 19:10:00	10352	78	Los Angeles Dodgers	Los Angeles Angels	NA	NA	Dodger Stadium	2017-06-27	6	5	1	2017	6	6	27	2017	0
3799895	2017-06-01	3799895_17318	Classical Orchestral	Los Angeles Philharmonic: and Gustavo Dudamel - Los Angeles	2017-10-07 20:00:00	68	663	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-07	6	5	1	2017	10	3	7	2017	0
3799893	2017-06-01	3799893_17318	Classical Orchestral	Los Angeles Philharmonic: Carlos Miguel Prieto - New Music From Mexico - Los Angeles	2017-10-17 20:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-17	6	5	1	2017	10	6	17	2017	0
3799887	2017-06-01	3799887_17318	Classical Orchestral	Los Angeles Philharmonic: Chamber Music - Los Angeles	2017-10-24 20:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-24	6	5	1	2017	10	6	24	2017	0
3799899	2017-06-01	3799899_17318	Classical Orchestral	Los Angeles Philharmonic: Chamber Music by Mozart - Los Angeles	2017-10-03 20:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-03	6	5	1	2017	10	6	3	2017	0
3799867	2017-06-01	3799867_17318	Classical Orchestral	Los Angeles Philharmonic: David Newman - West Side Story - Los Angeles	2017-11-24 20:00:00	45	837	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-24	6	5	1	2017	11	1	24	2017	0
3799874	2017-06-01	3799874_17318	Classical Orchestral	Los Angeles Philharmonic: Dutoit Conducts Ravel - Los Angeles	2017-11-11 20:00:00	52	815	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-11	6	5	1	2017	11	3	11	2017	0
3799876	2017-06-01	3799876_17318	Classical Orchestral	Los Angeles Philharmonic: Dutoit Conducts Ravel - Los Angeles	2017-11-09 20:00:00	38	842	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-09	6	5	1	2017	11	5	9	2017	0
3799868	2017-06-01	3799868_17318	Classical Orchestral	Los Angeles Philharmonic: Emmanuelle Haim - Bach and Pergolesi - Los Angeles	2017-11-19 14:00:00	52	815	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-19	6	5	1	2017	11	4	19	2017	0
3799870	2017-06-01	3799870_17318	Classical Orchestral	Los Angeles Philharmonic: Emmanuelle Haim - Bach and Pergolesi - Los Angeles	2017-11-17 20:00:00	52	815	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-17	6	5	1	2017	11	1	17	2017	0
3799871	2017-06-01	3799871_17318	Classical Orchestral	Los Angeles Philharmonic: Emmanuelle Haim - Bach and Pergolesi - Los Angeles	2017-11-16 20:00:00	45	837	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-11-16	6	5	1	2017	11	5	16	2017	0
3555599	2017-06-01	3555599_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel & Yuja Wang - Piano Concerto No. 2 - Los Angeles	2017-06-02 11:00:00	34	842	John Pizzarelli	Los Angeles Philharmonic	Gustavo Dudamel	Yuja Wang	Walt Disney Concert Hall	2017-06-02	6	5	1	2017	6	1	2	2017	0
3209668	2017-06-01	3209668_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel & Yuja Wang - Piano Concerto No. 2 - Los Angeles	2017-06-01 20:00:00	16	839	John Pizzarelli	Los Angeles Philharmonic	Gustavo Dudamel	Yuja Wang	Walt Disney Concert Hall	2017-06-01	6	5	1	2017	6	5	1	2017	0
3209665	2017-06-01	3209665_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel & Yuja Wang - Piano Concerto No. 3 - Los Angeles	2017-06-04 14:00:00	58	761	John Pizzarelli	Los Angeles Philharmonic	Gustavo Dudamel	Yuja Wang	Walt Disney Concert Hall	2017-06-04	6	5	1	2017	6	4	4	2017	0
3209666	2017-06-01	3209666_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel & Yuja Wang - Piano Concerto No. 3 - Los Angeles	2017-06-03 20:00:00	53	798	John Pizzarelli	Los Angeles Philharmonic	Gustavo Dudamel	Yuja Wang	Walt Disney Concert Hall	2017-06-03	6	5	1	2017	6	3	3	2017	0
3799903	2017-06-01	3799903_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Gala - Los Angeles	2017-09-26 19:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-09-26	6	5	1	2017	9	6	26	2017	0
3799901	2017-06-01	3799901_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Los Angeles	2017-09-30 20:00:00	81	583	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-09-30	6	5	1	2017	9	3	30	2017	0
3799900	2017-06-01	3799900_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Los Angeles	2017-10-01 14:00:00	95	343	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-01	6	5	1	2017	10	4	1	2017	0
3799897	2017-06-01	3799897_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Mozart 1791 - Los Angeles	2017-10-06 20:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-06	6	5	1	2017	10	1	6	2017	0
3799902	2017-06-01	3799902_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Mozart 1791 - Los Angeles	2017-09-29 11:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-09-29	6	5	1	2017	9	1	29	2017	0
3799896	2017-06-01	3799896_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Mozart 1791 - Los Angeles	2017-10-08 14:00:00	62	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-08	6	5	1	2017	10	4	8	2017	0
3799898	2017-06-01	3799898_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Mozart 1791 - Los Angeles	2017-10-05 20:00:00	69	618	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-05	6	5	1	2017	10	5	5	2017	0
3799894	2017-06-01	3799894_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Noche de cine - Los Angeles	2017-10-13 20:00:00	59	761	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2017-10-13	6	5	1	2017	10	1	13	2017	0
3799763	2017-06-01	3799763_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Schumann Cycle: Concert 3 - Los Angeles	2018-06-01 20:00:00	43	592	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2018-06-01	6	5	1	2017	6	1	1	2018	0
3799762	2017-06-01	3799762_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Schumann Cycle: Concert 3 - Los Angeles	2018-06-02 20:00:00	59	348	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2018-06-02	6	5	1	2017	6	3	2	2018	0
3799761	2017-06-01	3799761_17318	Classical Orchestral	Los Angeles Philharmonic: Gustavo Dudamel - Schumann Cycle: Concert 3 - Los Angeles	2018-06-03 14:00:00	71	236	Los Angeles Philharmonic	NA	NA	NA	Walt Disney Concert Hall	2018-06-03	6	5	1	2017	6	4	3	2018	0
